{
{ -3.61107f, 7.24704f, -5.95797f, -8.22742f, 4.93646f, -9.14215f, 3.54904f, -4.61686f, -0.71594f, -15.54136f, -18.60984f, -0.49994f, -2.18490f, -4.45848f, 4.17302f, -8.04931f },
{ 19.76700f, -8.30206f, -4.91691f, 1.45546f, 4.60368f, -2.28211f, -27.02746f, -6.96305f, 8.85378f, -13.95597f, -6.23420f, -10.53844f, 9.98067f, 0.12356f, -7.91419f, 11.37499f },
{ -0.15163f, -25.37610f, -8.83342f, 3.69243f, 13.77365f, -0.07446f, 8.14155f, 0.47452f, 12.12206f, 7.64243f, -0.69312f, 0.30137f, -0.54038f, 0.70415f, 9.27974f, -4.75015f },
{ -6.32900f, 10.59808f, 6.16601f, 2.24265f, 5.37984f, -2.29490f, -25.55780f, -11.14252f, -5.27765f, -3.76111f, -1.94538f, 9.03561f, -0.63568f, 5.34944f, 6.43849f, 11.91977f },
{ -8.57664f, 8.02254f, -14.49978f, -0.57731f, 22.29659f, 0.03488f, 1.68539f, -7.44409f, 0.56475f, -8.94841f, -4.65328f, 6.48338f, 3.38428f, -26.91183f, 4.56114f, 7.80044f },
{ -1.11568f, -12.41231f, -0.79252f, 1.55432f, -19.74687f, 10.79725f, 14.69409f, -4.11503f, -0.46108f, 15.22510f, -1.00608f, 0.34466f, 10.91004f, 1.80398f, -7.62528f, 12.57516f },
{ -0.80503f, -22.16510f, -10.24953f, 11.93603f, -0.66477f, -21.81768f, -5.32703f, 9.51954f, 18.16862f, 9.64466f, 2.33949f, 5.37193f, 7.06152f, 8.31428f, -1.08988f, 19.33437f },
{ -11.15457f, 2.69716f, 3.62664f, 6.49638f, 4.62201f, -5.15640f, 9.22518f, 9.59018f, 0.59300f, 14.81968f, 17.97707f, 3.52116f, 4.40356f, -1.08706f, 2.82674f, 0.74213f },
{ -2.14052f, -4.27822f, -5.14449f, -6.53548f, -15.97544f, -7.05117f, -0.55212f, 13.69282f, -6.57980f, 15.73459f, -1.28054f, -11.03470f, 1.32629f, 19.80884f, 13.82237f, 7.04918f },
{ -8.70603f, 0.08284f, 15.59176f, 0.78531f, 9.74855f, 7.52986f, 3.91891f, 8.91939f, 9.04641f, 0.36133f, 5.79768f, -3.31841f, -6.33559f, -2.09523f, -1.40300f, 16.06848f },
{ 0.41786f, -19.86785f, 10.77864f, -8.76488f, -11.48813f, 20.49747f, -9.99215f, -7.10302f, 6.52985f, -10.82777f, -8.80935f, 13.39820f, 2.48465f, 1.27028f, -5.25802f, 9.59804f },
{ -18.83801f, 18.00674f, -4.99314f, -15.61294f, 9.11211f, -4.39005f, -7.68282f, -0.90693f, -9.67160f, 14.40258f, -17.24164f, 2.06723f, 0.76872f, 7.25785f, 0.38339f, -2.63901f },
{ -0.77413f, 4.33406f, -3.95500f, 10.97572f, 3.97499f, 11.23266f, 2.35095f, -8.33696f, 14.39775f, 2.94311f, 0.86697f, 14.64458f, 15.22753f, 9.58500f, -10.55996f, -18.04936f },
{ -37.66769f, 14.00142f, -18.56440f, 12.83545f, -29.31249f, -9.62538f, -2.56183f, 0.28713f, -11.73079f, -0.27864f, -7.36332f, -8.98218f, -7.95865f, -7.90424f, -8.94107f, 4.90397f },
{ 3.57112f, 12.85911f, 0.89920f, 3.49407f, -5.64016f, 17.63660f, 20.58147f, -19.63576f, 1.70932f, 20.50451f, 0.48049f, -5.00218f, -12.01221f, -7.49234f, -1.41183f, 2.91578f },
{ -19.59809f, -11.82625f, -0.35386f, 5.84074f, -3.82708f, 0.33270f, -17.08377f, -7.21494f, -30.10576f, 10.70315f, 5.26427f, -5.64900f, 10.53681f, -6.71994f, 5.35312f, 4.00744f },
{ 5.73428f, -4.73991f, 11.47095f, 6.73266f, -7.48389f, 17.35415f, 11.24017f, -6.20919f, -8.75155f, -14.87969f, 1.15422f, -5.04630f, 0.05825f, -0.44484f, -13.30079f, -7.33221f },
{ -7.51121f, 9.42447f, -11.75970f, -6.48707f, -0.21933f, 2.36879f, 16.11228f, -13.92549f, -2.26382f, -15.35697f, -10.74248f, 9.47836f, 2.66140f, -19.55758f, 11.65150f, -1.27434f },
{ -11.18703f, -0.47843f, 3.70675f, -11.38101f, 7.54072f, -14.73682f, -1.70056f, 15.52018f, 14.90756f, -8.19729f, -9.65729f, 17.58845f, 0.36834f, -17.47879f, 10.92950f, 15.31350f },
{ 0.06936f, -10.74227f, -3.10297f, -14.68655f, 16.03809f, 3.04755f, 25.22334f, 11.32584f, 8.08366f, 4.01421f, 1.38935f, -16.19445f, 11.98529f, -5.40441f, 4.64353f, 11.09446f },
{ -5.25351f, -13.77385f, 14.68647f, -12.03863f, -4.73974f, -12.51332f, -11.55944f, 7.99226f, -0.78537f, 0.75639f, 17.33564f, 6.03415f, -0.41538f, -27.87898f, -6.09925f, 0.53678f },
{ 1.34438f, -15.31759f, 23.08787f, -25.73805f, -32.05170f, -14.59069f, -8.26844f, -4.42555f, -10.38256f, 11.03992f, 7.17407f, 16.93419f, 11.59649f, -9.81806f, 5.81306f, -2.51423f },
{ -0.84666f, -13.75821f, 40.08520f, -17.14007f, -21.36036f, 10.42075f, -2.84398f, 6.96927f, 3.02845f, -0.62016f, 10.82627f, 0.27023f, 12.54439f, -0.68335f, -0.24753f, -2.70149f },
{ 6.73599f, -4.25410f, -18.35529f, 5.07545f, 11.81627f, -25.44017f, 9.63115f, -1.16683f, 7.68313f, 0.72783f, -0.87238f, -18.34307f, -2.43187f, 8.33469f, -5.29856f, -9.39310f },
{ 15.78446f, -12.70869f, 2.68105f, 10.10914f, 5.19143f, 4.79229f, 4.12677f, 1.33510f, 0.61971f, -17.25648f, 2.02210f, -12.09838f, 14.36532f, 3.25160f, -12.18901f, -4.56663f },
{ -2.93347f, 2.85242f, 19.60144f, 4.93515f, -9.44805f, 18.81719f, -3.28670f, 18.91487f, -3.68570f, -7.23946f, -2.71903f, -0.23016f, 2.63097f, 12.48531f, 7.22345f, 1.75036f },
{ -16.45007f, -9.78349f, -5.40642f, -6.05044f, 2.60543f, 22.11262f, -14.32071f, -7.41523f, -7.31346f, 3.33894f, -9.82918f, -3.42506f, 2.82931f, -17.81547f, 1.36557f, 15.88697f },
{ 14.22159f, 1.57580f, -0.07053f, -6.74871f, 16.53330f, 8.26318f, -2.29309f, 1.42589f, -6.30130f, 2.03635f, 3.06687f, -3.83714f, 5.41788f, 4.36465f, -0.36133f, -9.20891f },
{ -4.37685f, -8.90815f, 1.05615f, 2.87900f, -8.54418f, 23.18467f, -7.64843f, 1.25939f, 12.28527f, -11.68346f, -4.98605f, -9.18459f, 2.89169f, 8.77392f, 6.61075f, 5.95127f },
{ 6.53213f, 19.10393f, 12.51890f, 21.89516f, -1.44031f, -5.17772f, -7.31127f, -5.10409f, 3.86707f, -6.17753f, 4.42586f, -1.47923f, 13.52130f, 12.97276f, 1.71552f, 4.44533f },
{ -0.22702f, -5.40465f, -4.52042f, 3.13529f, -3.80438f, -14.78206f, -19.23448f, -4.20610f, -2.28397f, 6.25011f, 13.81219f, 9.32379f, 12.38544f, 1.10539f, 23.22800f, 3.91141f },
{ -6.49109f, -3.36331f, -8.13567f, 3.51764f, 5.30869f, 0.68278f, -3.76737f, -1.99165f, -2.16696f, -6.24861f, 2.02496f, 3.27941f, -7.34985f, -0.04862f, 5.42855f, -7.87862f },
{ -12.38576f, 14.56455f, -10.72380f, -6.19096f, -1.97678f, 4.21133f, 3.64402f, -4.93255f, -11.68157f, 8.16563f, 7.63034f, -20.54943f, -7.75444f, -1.50600f, 0.28428f, -2.19954f },
{ -11.80054f, -6.69027f, -1.92568f, -2.93121f, -15.36865f, -17.91027f, 4.74699f, 9.20454f, 18.74675f, 2.42374f, 1.95713f, 2.15170f, -9.41796f, 1.03428f, -5.03134f, -7.88615f },
{ -2.59422f, 1.75493f, 16.13126f, 12.38380f, 10.36159f, 3.31972f, 1.95251f, -5.37869f, -0.36782f, 5.36421f, 9.58485f, -13.16023f, -6.25068f, -12.89326f, 4.76453f, -19.81603f },
{ 10.78074f, -8.06046f, -7.11964f, -23.82974f, 5.40520f, -4.83417f, 0.80179f, 0.35176f, 5.63409f, -17.06069f, 7.25481f, 1.25191f, -16.73990f, -12.76103f, -6.45045f, -6.69379f },
{ -6.29755f, 10.70957f, 4.33015f, 8.29713f, 22.82052f, -7.10439f, 15.18526f, 16.19329f, -17.64053f, 10.16288f, 1.74595f, -0.67819f, -0.67845f, 4.23111f, 5.33225f, -9.32323f },
{ -0.87078f, 1.73956f, -8.36091f, -6.48487f, -23.75234f, 8.18226f, -9.75069f, 0.33603f, 11.92120f, 0.01308f, 4.27357f, 3.49947f, -7.13985f, -31.25204f, -3.94324f, 1.88452f },
{ 16.67835f, -3.64214f, 23.03880f, -7.15446f, 12.06246f, -9.79195f, -3.19728f, 8.37688f, 7.42982f, -5.69432f, 5.84667f, -4.85056f, 6.74740f, 3.43022f, -10.26587f, -5.59762f },
{ -4.44199f, -1.39920f, -21.22388f, -7.25295f, -9.37062f, -0.56656f, 15.62829f, -2.96380f, 2.04757f, -4.06051f, -1.45362f, -11.54325f, 7.96862f, -0.19480f, -17.14836f, -3.53604f },
{ 7.36152f, -15.01349f, -0.39346f, 23.18578f, 4.89036f, 0.74740f, -0.23728f, 13.86740f, -17.42062f, 0.02644f, 4.77182f, -4.63963f, -1.30157f, -16.23612f, -5.75813f, -31.26117f },
{ -10.94670f, 9.91436f, -9.85468f, -5.98039f, 9.05356f, -1.37283f, -13.93129f, 4.51918f, 17.47354f, 2.20719f, -8.47110f, 0.09093f, -9.25261f, -2.13973f, 13.25314f, -0.29447f },
{ 2.87256f, -6.05783f, 1.26971f, -1.02487f, 8.48624f, 16.95677f, 4.12794f, 1.70552f, -7.05731f, -7.72642f, 11.54769f, -6.15552f, 1.54038f, 9.50527f, 13.08725f, -4.59769f },
{ -5.18939f, 4.55646f, 5.72772f, -22.82623f, 2.80048f, -13.60500f, 6.10356f, -1.34655f, 2.82020f, 3.09977f, -0.43363f, -5.53381f, 0.63911f, 4.90744f, 1.32399f, -0.12818f },
{ 6.24538f, 0.39941f, 0.45783f, 6.71524f, 0.89237f, -16.29836f, -11.70105f, -4.98180f, -5.66283f, -13.19478f, -1.27161f, -0.78838f, 3.78241f, -5.87136f, 11.72428f, 19.28637f },
{ 20.79307f, 18.46286f, 8.55612f, 5.62740f, 13.18593f, 9.72553f, 2.78376f, 2.75212f, -14.94353f, -21.04982f, -10.99866f, 4.61365f, 3.18717f, -7.62431f, -1.92853f, 0.81591f },
{ 8.98695f, -3.72400f, -4.05704f, -10.59057f, 16.85101f, 22.00709f, 6.58346f, 1.53357f, -9.76681f, 18.94961f, 11.92656f, 7.67604f, -7.54338f, 3.89449f, -9.65670f, 10.87562f },
{ 3.11242f, -5.92867f, -20.42344f, -6.12243f, -2.03834f, -10.86134f, 5.36930f, -0.88310f, 8.09441f, 0.70925f, -5.27674f, -7.07216f, 5.93664f, 3.61262f, 14.69146f, -14.82811f },
{ -3.57945f, -7.65037f, 11.91772f, 1.90634f, -0.73521f, 2.29111f, 0.16004f, 1.47519f, 2.97564f, -4.18671f, -4.40637f, 6.69690f, 9.29252f, -5.45816f, -5.94550f, 7.51683f },
{ -1.65075f, 2.29855f, -7.60588f, -14.70164f, -8.88273f, -17.03843f, 2.36242f, 14.65562f, -15.83946f, -12.60697f, 0.35558f, 13.05965f, 0.32611f, -18.03999f, -14.09412f, 16.93069f },
{ -6.78878f, -4.65929f, 12.02717f, 12.40662f, -7.91674f, -10.21463f, 21.73930f, 0.25290f, 11.07953f, 10.19163f, -8.03218f, 10.21448f, -2.74047f, 7.28342f, 7.88876f, -7.99925f },
{ -8.01558f, 2.74101f, -9.65822f, 7.89752f, 3.92280f, 1.69297f, 9.37699f, 1.96510f, -1.80186f, -2.37485f, 6.29330f, 8.16660f, 2.77862f, -0.01018f, 18.48405f, 6.52006f },
{ -0.03555f, 5.44773f, -19.70746f, 13.02342f, 16.47580f, 8.92745f, 0.91814f, 18.09471f, 0.83232f, -24.62587f, 4.93576f, 1.73202f, -12.10074f, -13.92355f, -16.76693f, 9.05427f },
{ -3.11710f, 3.60520f, -12.32903f, 5.21072f, -0.66010f, 3.82759f, -14.91654f, -16.58122f, 5.79963f, -5.89814f, 3.74720f, -1.94890f, -1.88255f, -0.45757f, -14.81618f, 13.04285f },
{ -18.52722f, 11.90167f, 8.64252f, -3.08821f, -10.02740f, 19.07466f, -0.65539f, -15.16599f, -14.10770f, -19.93257f, 1.56673f, 14.55302f, -6.00795f, -5.15308f, -5.50607f, -11.10251f },
{ 0.47364f, -8.75217f, -15.42153f, -7.22422f, 7.98496f, -27.48330f, -1.50097f, 12.31372f, 8.73944f, 3.32395f, -4.14782f, -5.27669f, 0.78280f, -5.18061f, -0.28056f, 0.65255f },
{ 8.56130f, -9.47220f, 1.88634f, -7.88740f, 1.17662f, 17.67329f, 7.27943f, 5.53782f, -0.35061f, 4.28426f, -9.02113f, -0.15474f, 6.77462f, 3.86391f, -4.76408f, 7.60617f },
{ -26.42825f, 9.18508f, -7.34194f, 5.70091f, 5.79787f, 16.96970f, -0.16101f, -16.46867f, -12.96752f, -2.47887f, 4.45789f, -6.45440f, -4.89898f, 11.02290f, 3.94189f, 2.76042f },
{ 16.59505f, 6.16682f, 12.18779f, 0.32574f, 8.97566f, -0.50346f, -12.41797f, 5.97885f, -7.04024f, -10.33495f, 0.91344f, 6.53554f, -0.82052f, 0.80949f, 3.47848f, -0.66278f },
{ 9.96660f, -16.83122f, -3.01022f, -3.97619f, -0.99608f, 3.35496f, -3.23466f, 0.75638f, -13.44595f, 0.44017f, -11.77659f, 5.17716f, 1.70705f, 23.55507f, 8.42302f, 13.04754f },
{ -14.58967f, 6.01804f, -8.48810f, -19.46518f, 12.43482f, 9.47554f, 4.12284f, 11.40022f, 2.99892f, -8.87861f, -15.61938f, -0.41539f, -9.90823f, 4.16617f, 11.64770f, -11.71455f },
{ -4.26069f, -2.13827f, 7.04035f, 9.30144f, 1.21810f, 18.01864f, -14.29350f, -1.32494f, -7.83452f, -14.11982f, -2.70767f, -1.79855f, 0.18363f, 8.30423f, -25.73656f, 2.71771f },
{ 13.51116f, 9.52134f, -12.77310f, -3.94367f, -2.42856f, -2.24478f, 11.41481f, -10.97408f, -11.50350f, 3.83907f, -2.40960f, -4.48011f, -1.16568f, -1.89834f, -12.14693f, -10.82635f },
{ -17.88296f, -21.41258f, -4.46459f, 2.35313f, -4.56598f, -7.73156f, -4.33984f, 6.20114f, -2.99754f, -9.96360f, 5.73274f, -15.23451f, -22.35553f, -17.48487f, -12.62021f, -4.86027f },
{ -3.00065f, -20.19475f, -22.45937f, -5.59960f, 7.94052f, -16.91236f, 4.27855f, -13.84269f, -0.01891f, 2.56669f, -4.26705f, -13.96383f, 20.31665f, -0.55032f, 10.23660f, -18.97954f },
{ 1.11293f, -10.04756f, -2.20979f, -7.23000f, 5.04899f, -14.67799f, -6.76420f, 10.25693f, 14.27965f, 2.65376f, 1.37302f, 12.84375f, -13.66169f, -5.01432f, 3.12833f, 5.86132f },
{ 4.28762f, -13.52085f, -3.18278f, 10.67076f, 9.50783f, 4.15434f, -13.86890f, 2.07645f, 13.35167f, 2.13828f, -9.09257f, 11.09239f, 2.86027f, -16.46162f, 9.44535f, 4.27077f },
{ 8.66295f, 1.09335f, -18.28263f, 3.82543f, 16.68743f, -10.09583f, 20.36287f, 3.31452f, 12.91557f, -3.48984f, -8.22709f, 0.28135f, -17.41410f, 2.91538f, 6.22259f, 7.85208f },
{ -14.00117f, -4.55216f, 4.04369f, -8.32438f, 6.28617f, 1.04822f, 0.18917f, 13.21960f, -2.34173f, -1.62552f, -13.24198f, 13.85518f, -7.66747f, -1.85071f, -8.25962f, -5.34826f },
{ -3.39270f, 8.12922f, 1.33491f, 33.64867f, 26.41397f, 24.15312f, 3.72970f, -11.21778f, 5.44179f, 9.65899f, 0.01183f, -1.60306f, -8.93956f, 4.42092f, -3.04190f, 4.45094f },
{ 8.28414f, -1.60654f, -7.25781f, -2.24422f, 0.68470f, -5.69842f, -8.70559f, 10.38095f, -11.69076f, -8.32940f, 6.30155f, -14.31692f, -21.05866f, -5.47706f, 4.24641f, 10.87149f },
{ 2.63758f, 6.38503f, -6.10894f, -13.15197f, 4.72156f, 11.79360f, -1.81831f, 7.82185f, 10.09911f, -13.13029f, -3.78930f, 4.58477f, 12.03181f, -1.91799f, 13.35596f, 1.14061f },
{ 17.22197f, -8.95900f, 5.20139f, 4.79441f, -7.61862f, 6.95691f, 4.31111f, -6.88691f, -1.93180f, -3.96418f, 7.36316f, -0.54535f, -0.33546f, 6.25490f, -2.40801f, -2.89494f },
{ 11.45084f, -2.68036f, 14.97797f, -0.79895f, -5.94103f, -6.05694f, -9.04461f, 0.72128f, -3.27516f, 3.09738f, 7.91239f, -16.40571f, 18.63598f, 6.09397f, 17.99713f, 4.74660f },
{ -10.93734f, 5.98741f, -12.33159f, -6.48207f, 24.55937f, 11.81173f, -8.98912f, 4.26240f, -7.77927f, 7.03749f, 21.18800f, 3.70299f, 7.26788f, 1.84286f, -11.27956f, -14.73831f },
{ -0.93099f, -17.26725f, -0.05733f, -24.15616f, 10.29055f, 6.77836f, 1.33572f, -11.17583f, 2.24324f, 4.71210f, -17.54631f, 2.58890f, -14.64475f, -9.48143f, 8.86964f, 15.54313f },
{ 5.18372f, -23.30411f, 20.36169f, -16.25490f, -6.74461f, -6.19809f, -20.38239f, -5.82369f, 8.81780f, 15.63499f, -4.63044f, -9.60123f, 6.76947f, -6.39003f, -1.50658f, -0.52001f },
{ 12.33541f, -5.18119f, -3.00745f, -12.09099f, -12.28145f, 18.35970f, 11.64819f, -9.62304f, -3.75439f, 4.48739f, 7.99566f, 15.75519f, -11.22223f, 1.73322f, 1.30706f, 11.14320f },
{ 11.25017f, 12.51126f, -7.30904f, -5.43829f, -0.85897f, 9.62939f, 10.14257f, -0.18237f, -6.04306f, 6.52596f, 9.12763f, -7.06854f, -15.85586f, -3.62205f, -11.65758f, 17.26952f },
{ -5.70133f, -7.81440f, -1.85857f, 7.47966f, -2.25292f, 1.26870f, -14.88216f, 0.39311f, 1.23181f, -7.42701f, -6.08589f, -3.16563f, 1.64250f, 1.32384f, -10.32342f, -12.50467f },
{ 10.03415f, 18.75054f, -2.55500f, -6.16633f, -3.79312f, -4.14676f, 2.52491f, -5.35386f, 4.51344f, -1.48023f, 14.52132f, 4.24223f, 16.74553f, 11.29751f, -17.13750f, 5.69734f },
{ -7.29466f, 5.59876f, 13.27410f, -20.95811f, -0.63585f, -9.12348f, 3.40516f, 4.26944f, -6.49904f, 9.63043f, 3.95195f, -7.78770f, -4.73861f, -11.92765f, -1.93980f, -13.06200f },
{ -1.42032f, 1.17694f, -5.75614f, -2.53464f, -4.34735f, -15.30677f, 11.04921f, 9.87403f, 10.36805f, 8.61727f, -7.08477f, -11.28025f, -5.35668f, -2.26109f, 2.02352f, -12.87551f },
{ -20.22258f, 29.32404f, -3.99925f, -2.70244f, 3.21735f, 0.22064f, 5.80518f, 2.92300f, 5.87229f, -3.71592f, -19.77207f, -7.20004f, -6.94520f, 10.96323f, -0.85290f, -3.38751f },
{ 6.44547f, 6.68613f, -16.91051f, -1.76937f, 10.91526f, 1.24515f, -4.53916f, -7.71256f, 2.87425f, 3.10920f, 9.08026f, -15.93578f, 6.99395f, 3.19783f, -14.29941f, -15.29766f },
{ -12.52710f, 15.48552f, 15.58391f, 11.62179f, -5.75795f, -2.54663f, -15.90516f, -8.40518f, 28.57887f, 10.40524f, 3.00565f, -3.24004f, 6.54344f, 12.00022f, 12.10688f, 0.91469f },
{ -2.70814f, -3.02451f, -13.02714f, -17.46752f, 1.87602f, 14.56224f, -9.35967f, -1.47475f, -5.97705f, 5.85093f, 12.34520f, 1.18767f, -0.76268f, -6.18561f, 6.10608f, 1.84582f },
{ -14.29017f, 2.22540f, -18.42986f, -0.99572f, 4.21215f, -7.71948f, 9.79814f, -10.01547f, 1.08294f, -5.67638f, -4.01622f, 1.20846f, 5.83075f, -12.44202f, 3.97526f, 6.35760f },
{ 1.88588f, -1.29869f, 13.98835f, -0.47643f, 3.71225f, 4.22359f, -9.00926f, 9.05557f, -1.79746f, 1.20732f, 4.88164f, -2.47244f, -7.24496f, 0.83116f, -1.97102f, -6.69116f },
{ 10.46927f, -4.85968f, 5.04869f, 21.59177f, -6.87764f, 2.74629f, 2.59840f, -3.90034f, 4.27991f, 6.32821f, -11.53721f, 9.42410f, 4.29021f, 5.21672f, 24.60109f, 13.62630f },
{ -7.21389f, -3.38803f, 4.06015f, 1.18460f, -2.55255f, 42.08685f, 15.79992f, 5.01087f, -3.60324f, -4.79352f, -12.92844f, -0.28704f, -3.26799f, -17.52846f, -2.98994f, -12.79624f },
{ -2.79078f, -2.99054f, 10.85193f, -18.48704f, 13.68663f, -2.12104f, -6.91616f, 0.96569f, -1.61545f, 13.59781f, 11.97131f, -13.56363f, 9.92033f, 11.67928f, -5.40024f, 8.48426f },
{ 9.77807f, 14.51941f, -7.12009f, 2.23526f, -5.36866f, 5.18145f, -4.79728f, 5.16404f, -2.94061f, 9.26431f, 14.97897f, 6.20203f, -2.49563f, 1.43720f, 5.78356f, -10.72043f },
{ 0.38998f, -3.58248f, -1.27145f, -1.18778f, -20.91114f, -23.61404f, 5.23696f, 7.62485f, 9.97052f, -10.14665f, 3.86674f, -3.52823f, 3.62603f, 5.24012f, 1.57236f, 8.57897f },
{ -11.77022f, 8.10875f, 13.10818f, 12.39656f, -9.45947f, 4.75532f, 16.07815f, 6.21992f, 4.70850f, -17.49260f, 2.63848f, 8.29043f, -3.41075f, 12.55700f, 3.44094f, -2.79775f },
{ -12.13003f, -5.52856f, -3.97515f, 2.82611f, 12.19945f, -18.92102f, 5.85220f, 2.27083f, 0.46327f, -8.29017f, -13.17901f, -9.47100f, 7.79929f, 21.94650f, -1.28546f, -8.85732f },
{ -3.11202f, 10.11043f, -8.30912f, -14.92033f, 7.66749f, 1.16202f, 9.89961f, 1.81490f, 6.49349f, -10.12386f, 2.66475f, 8.80146f, -2.26233f, -1.93249f, -0.66603f, 0.30288f },
{ 6.35754f, -4.95615f, -2.32088f, -10.63304f, 11.59483f, -13.32231f, -2.06407f, -6.72080f, -12.25038f, -17.35487f, -3.62567f, -12.36477f, -6.03843f, 7.04384f, -1.86555f, 6.45554f },
{ -3.96286f, -10.22808f, 11.15856f, 0.92271f, 1.01252f, 3.19639f, -22.13944f, -12.00027f, 3.13132f, 12.52018f, 0.82012f, -1.68346f, -7.09955f, 14.69717f, 11.95584f, -4.16881f },
{ 3.12217f, -4.36277f, -9.80567f, -6.96099f, 0.83972f, 3.13867f, 5.34049f, 9.18493f, -11.63540f, 4.59676f, 9.52469f, -1.38136f, 16.92438f, 6.91197f, 3.96645f, 7.78655f },
{ 1.50516f, 0.35602f, -11.34660f, 2.85428f, -5.08475f, 2.57778f, 8.49494f, 4.36038f, -2.08381f, 9.11584f, -8.16927f, 7.11342f, -3.70816f, -9.97074f, 3.50037f, 9.37464f },
{ -1.16360f, 12.93583f, 3.94704f, 14.08042f, -2.28349f, -5.56044f, 0.73678f, -10.76534f, -23.31248f, 12.48007f, -6.86811f, 12.39329f, 6.82568f, -11.24665f, -13.79746f, -6.76804f },
{ 2.42012f, 29.78429f, -6.84128f, -3.72350f, -1.85698f, -5.22271f, -5.64653f, -14.30006f, -1.21396f, -11.25254f, 8.49952f, -23.03994f, -12.36123f, -0.80120f, 8.86727f, 3.22692f },
{ 5.76521f, -6.83101f, -2.35434f, -1.77530f, -9.43871f, -2.47557f, -11.14406f, -7.24384f, 3.86543f, 9.45231f, -11.91911f, 2.70969f, 0.39505f, -19.24847f, -9.13845f, 2.29203f },
{ 10.13361f, -15.93032f, 2.53087f, -10.90972f, 6.60657f, -26.33102f, -4.21427f, 8.47544f, -6.89441f, 9.89861f, -23.71846f, -3.09622f, -5.64620f, -10.32352f, 12.92928f, 1.53314f },
{ 3.31160f, 3.70867f, 9.34046f, 14.01422f, 22.04256f, -4.29317f, -0.59507f, -15.91956f, 2.68817f, 10.49886f, 11.75479f, -14.88147f, 1.62106f, -8.04676f, 0.98891f, 17.13229f },
{ 6.30451f, 20.38793f, 13.44326f, 6.10466f, -5.46881f, -6.75087f, -2.76001f, -2.26151f, -4.49501f, 2.71770f, 6.74772f, -0.24881f, 17.62215f, 15.79133f, -0.98919f, -5.19411f },
{ -13.74674f, 24.94189f, 6.06558f, -16.65227f, 5.92841f, 19.13605f, -10.92185f, 7.44848f, -16.80787f, -1.51254f, 12.41335f, -1.76097f, -7.40109f, -10.14166f, 10.75825f, 12.30609f },
{ -12.89980f, -6.43423f, 2.05593f, 9.81120f, 19.51927f, 11.67996f, -6.86729f, 6.27899f, 12.13945f, -5.55566f, 15.33483f, 10.69473f, 3.63340f, -7.49741f, 0.17867f, -4.18863f },
{ -8.07077f, 10.22408f, 2.14746f, 0.70032f, -11.19458f, 20.63720f, -4.08106f, -3.56665f, 0.30908f, 14.19481f, -4.69497f, -18.34088f, 12.13825f, 19.29938f, 11.68455f, 2.54933f },
{ 5.79083f, 4.79766f, -5.25033f, -4.00694f, -5.45766f, -3.19081f, 0.26330f, 23.29494f, -2.79826f, 3.68442f, 16.12600f, -0.77080f, -12.95313f, 5.14528f, -10.49763f, 7.56032f },
{ -5.40646f, -6.23049f, 4.69576f, 4.85644f, 7.53873f, -7.78155f, -13.81273f, -10.82122f, 13.76187f, -14.05194f, 3.82753f, -9.60669f, -14.90541f, 13.10646f, 4.82706f, -8.44550f },
{ 14.27594f, -10.34698f, 2.39381f, -8.48598f, -8.74951f, 1.42853f, 2.82543f, 2.31375f, -1.19849f, 7.36216f, 2.24006f, 2.79512f, 5.87183f, -15.13622f, 0.76584f, -0.56494f },
{ 17.24047f, 8.90551f, 5.90037f, 13.85155f, 5.49878f, 8.44486f, 11.12120f, 0.44472f, 9.73313f, 10.90755f, -10.95600f, -6.28877f, -12.10374f, 21.39510f, -10.63739f, 14.13539f },
{ -7.57606f, -7.37641f, -16.82849f, -8.37675f, -1.51803f, -8.39813f, 17.05720f, -5.41713f, 5.64835f, 3.18627f, 6.64945f, 9.71217f, -4.74035f, -12.91740f, 1.27059f, 10.16697f },
{ -3.31065f, -12.71752f, -13.65031f, -10.26611f, 3.61965f, -0.90192f, 4.34983f, 4.44367f, 7.88028f, -11.67181f, 1.40550f, 20.01599f, 16.66214f, 4.03542f, 15.42987f, -0.00510f },
{ -15.26078f, 11.98380f, -3.21282f, 5.26027f, 17.77545f, -16.23387f, -8.69965f, 12.61568f, -2.45006f, 4.25526f, -14.34712f, -3.18330f, 10.46387f, -3.21348f, 1.45263f, 8.73759f },
{ -0.27846f, 7.23902f, -0.82850f, 4.78866f, -14.18794f, -11.31663f, -5.50830f, 1.02034f, -6.86101f, -12.31076f, 8.63331f, 17.94281f, -10.26649f, -20.90246f, 7.39011f, 5.51644f },
{ -21.28504f, 6.84800f, 20.11585f, 13.67337f, -15.99791f, 15.26852f, -14.48456f, -13.75851f, -17.94774f, -4.09615f, 7.62862f, -6.00208f, 8.59628f, -0.50965f, 7.80232f, 18.31958f },
{ 1.85515f, 0.05168f, 13.22365f, 0.13400f, -6.51764f, -20.76824f, -1.14804f, -1.32283f, -14.36273f, -15.07204f, 13.26241f, -3.90829f, -5.04612f, 12.09832f, 0.11160f, -3.58758f },
{ -9.76136f, 15.87637f, -4.02797f, -22.18847f, 6.03857f, -1.66595f, 12.35290f, 2.67990f, -17.64288f, 3.35955f, 30.44823f, 18.21578f, -1.82927f, -2.85062f, -6.66458f, -4.10763f },
