{
{ 0.08144f, -0.76467f, 0.16752f, 1.75935f, -1.41071f, -1.34018f, 0.90333f, 1.01198f, -1.29336f, -0.10368f, 2.27721f, 0.09245f, 0.25523f, 1.51169f, -0.95130f, 0.06777f },
{ -0.31236f, 1.86064f, -1.01406f, -0.81899f, 0.77168f, 1.47932f, 0.26825f, -0.56053f, -1.95137f, 0.67110f, -0.03074f, -1.65464f, 0.08814f, 0.19183f, -0.90713f, -0.23323f },
{ -0.27519f, 0.27134f, -0.57460f, 0.81496f, 2.73712f, 1.02259f, -0.37212f, -0.65926f, -2.05216f, -1.35791f, 1.98077f, 0.37596f, -1.26833f, -0.19843f, -1.00615f, -1.01856f },
{ 1.61299f, 0.66544f, -0.26923f, -1.85992f, 1.21044f, -0.78780f, 1.69891f, -0.24181f, -0.66479f, 0.04914f, -1.45369f, -0.01382f, 0.92125f, 0.07121f, 0.55227f, 1.21586f },
{ 1.42569f, 0.56423f, -1.19621f, -0.84944f, 0.18442f, 0.66272f, -0.54891f, 1.26830f, 1.12653f, -0.32819f, -0.56058f, 0.85365f, 2.68328f, 0.62367f, 0.28134f, 0.34037f },
{ -1.29553f, -0.17828f, 1.13144f, -0.06724f, 0.07968f, -0.88278f, 0.32190f, 1.64969f, 0.93256f, -2.00966f, 0.89231f, 0.63319f, 2.32249f, -0.40228f, -0.29440f, -1.76951f },
{ -0.22365f, 1.88306f, 0.57934f, 0.44186f, 0.97597f, 2.83714f, -0.26767f, -0.66622f, -0.31463f, 1.54015f, -1.58453f, 1.28084f, 0.38080f, -0.10757f, 0.22693f, -0.42175f },
{ 0.09133f, -0.67240f, -0.53899f, -1.78617f, 1.01185f, -0.02605f, -0.00370f, 1.56919f, 0.78402f, -0.06729f, 0.14288f, -0.78571f, 0.37816f, -0.76492f, 0.20760f, -1.49634f },
{ -1.22317f, -0.71223f, 0.84784f, 0.87710f, -0.01841f, 0.86803f, -0.11729f, -2.00251f, -1.63651f, -1.77158f, 1.87635f, -1.21584f, 0.30940f, 0.11603f, -0.48279f, -1.76854f },
{ 0.96994f, 0.35604f, 1.27287f, 0.34881f, -0.30991f, -0.08951f, -1.01202f, 0.59835f, -1.56846f, 0.96566f, -0.58165f, 0.29220f, 0.20176f, -1.77643f, -0.16583f, 0.80626f },
{ 1.01821f, 0.92535f, 0.91470f, -0.07686f, 0.39136f, -1.68710f, 1.45114f, 0.52769f, -0.46532f, 0.05523f, -0.53520f, 0.22746f, 0.52732f, -0.47171f, -2.53766f, 0.91949f },
{ 0.32711f, -1.71052f, 0.51046f, 1.15334f, -1.04914f, -0.07175f, -1.49978f, 1.21094f, -0.51447f, 0.31698f, 1.51751f, 0.36915f, -0.61109f, -0.46584f, -1.40746f, -0.04066f },
{ 1.02523f, 0.09165f, -0.55276f, 0.71213f, 0.60392f, 0.03737f, 0.08309f, 1.39713f, 0.29475f, -2.61396f, -0.03851f, -0.19498f, -1.31658f, 0.74406f, -0.26685f, -0.65798f },
{ 1.57581f, 0.12304f, -1.54638f, 0.21543f, 2.01496f, -0.70514f, -0.23902f, 0.34838f, 0.23890f, 0.50339f, -0.65925f, -0.69710f, -0.26913f, -1.12386f, 0.01699f, 0.67846f },
{ -0.66509f, -0.61510f, 1.52114f, 0.24353f, -0.41612f, -0.03599f, 0.80453f, -0.78933f, 0.15570f, 2.04902f, 1.00869f, -0.91994f, 0.60964f, -2.64056f, 0.33174f, 0.39957f },
{ 1.27819f, -0.42199f, 0.26416f, 0.68719f, -1.94298f, 0.65215f, 0.82593f, -0.44723f, -1.03992f, 0.60114f, 1.58570f, 0.41509f, 1.37654f, 0.70093f, 1.55726f, -1.82747f },
{ 0.46168f, 2.19775f, -0.31890f, -0.52590f, -1.17722f, -2.11720f, -1.31520f, 0.54806f, -0.18800f, -1.68344f, -1.42820f, 2.11676f, 0.66588f, 1.65829f, 0.37392f, -0.24291f },
{ 0.48438f, 0.22900f, -2.44060f, 1.45294f, 2.36534f, -0.70536f, -1.73025f, -0.91366f, 0.23637f, -0.69524f, -0.06952f, -0.96491f, -0.87212f, -0.37966f, 0.24249f, -1.46080f },
{ 0.55618f, 0.37597f, 0.90054f, 0.62673f, -0.79196f, 0.62783f, 0.21824f, 1.65805f, 1.51423f, -0.67331f, -1.09970f, -0.53226f, 3.57927f, 0.51356f, 1.28114f, 0.83401f },
{ -0.07381f, 0.68891f, 0.82067f, 0.06914f, -0.77569f, 0.58825f, 0.34808f, -0.33207f, -0.08189f, 1.57233f, 0.92527f, -1.69338f, 0.48402f, 0.38712f, 1.02611f, 0.39771f },
{ -0.94456f, -0.75399f, 0.08643f, -1.13457f, -1.32524f, -0.83887f, -0.03766f, -1.40541f, -1.27272f, -0.73351f, -0.40269f, 0.74454f, -1.23538f, 0.25258f, 1.23258f, 0.15498f },
{ 0.10627f, -0.25040f, 0.29049f, 0.58138f, 0.08597f, -1.26044f, 1.12552f, 0.28014f, -0.51093f, -0.30196f, -0.56601f, 0.13295f, 0.71768f, -0.83217f, 0.68902f, -0.15124f },
{ 0.44409f, 0.59138f, -1.35156f, -0.16111f, 0.99534f, 0.74697f, 0.27566f, 0.24122f, 0.48404f, -0.95911f, -1.37227f, -0.02042f, 0.01952f, -1.03825f, 0.23384f, -0.16487f },
{ 0.18031f, 0.20011f, -0.98770f, 0.14850f, -0.31094f, -0.85328f, -0.84834f, -0.34722f, -1.30737f, 0.32648f, 1.41150f, -0.87008f, -0.07022f, 0.97978f, -0.50984f, 0.38920f },
{ -0.25139f, -0.15910f, -0.12143f, 0.56969f, -0.74515f, -1.02026f, -0.46235f, 1.12988f, 1.09710f, 1.23479f, 0.55801f, -0.49210f, -0.12509f, -0.80436f, 1.28876f, -0.02432f },
{ -0.00572f, -1.17071f, -0.32384f, 1.11093f, 0.17147f, 0.10985f, -0.13701f, -0.43885f, 0.25524f, -0.58309f, -0.28086f, -0.03632f, 1.39049f, -1.19334f, -0.28439f, 0.46604f },
{ 0.38334f, -1.21890f, 0.27644f, 0.64787f, -0.78220f, 1.86717f, 0.09699f, 0.60882f, -0.64216f, 0.58820f, -0.22366f, 0.72755f, -0.10949f, 0.27062f, 0.75239f, 0.22966f },
{ -1.96028f, 0.28655f, 1.45950f, 0.33139f, -0.08104f, -0.01390f, 1.74683f, 1.92253f, -0.77824f, -0.66682f, 1.25852f, 0.95849f, -0.43978f, -0.41849f, -1.44364f, -0.32632f },
{ -1.62224f, -0.02465f, 0.10480f, 1.20585f, 0.45729f, -1.77738f, -0.94215f, 0.62636f, -0.15547f, -0.37659f, -0.31190f, -1.72865f, 1.13619f, -1.09289f, -0.45628f, -1.76760f },
{ -0.65084f, -1.39136f, -0.29952f, -0.61705f, -0.33577f, -0.04001f, -0.21812f, -0.64679f, 2.22846f, 0.39139f, -0.66876f, 0.27883f, -1.16398f, -1.54546f, -0.54712f, -0.27143f },
{ 0.03042f, -0.05394f, 0.10490f, 0.92294f, -1.43632f, 0.93940f, -0.14956f, -1.21693f, -1.24453f, 1.87221f, 1.29101f, -0.19356f, -0.44414f, -0.95355f, -3.12572f, -0.00042f },
{ -0.95673f, 0.14988f, 0.10208f, 0.43628f, -1.81187f, 0.75014f, -0.45545f, -0.09265f, 1.14708f, 0.15633f, -0.36058f, -0.02878f, 0.98237f, -1.52481f, -0.39444f, -0.01147f },
{ 1.99072f, -2.07677f, -1.35061f, -0.51406f, -0.37765f, 0.48163f, -1.73612f, -0.68983f, 1.75623f, -1.33916f, 0.08259f, -1.30246f, -0.10741f, 0.97464f, -1.40362f, -0.71970f },
{ 0.23966f, 0.19800f, -1.86951f, -0.79825f, -0.92362f, 1.09725f, 0.36880f, 0.65424f, 0.95531f, 0.54018f, 1.34670f, -1.09139f, -0.31696f, -0.62887f, 0.60382f, -0.63943f },
{ -0.16307f, 0.09210f, 1.38429f, -1.85787f, 0.24212f, 1.03889f, 0.66678f, -0.79077f, -0.21282f, -0.13752f, 0.02690f, 0.89713f, 0.52024f, 1.28699f, 0.29105f, -0.55889f },
{ 1.74672f, 1.34726f, -0.79550f, 0.53327f, -0.28859f, -1.58797f, 2.13608f, -2.30316f, 1.11971f, -0.83882f, -1.44742f, -1.34636f, -1.21181f, 0.23367f, -1.31301f, 1.20225f },
{ 0.75401f, 0.19515f, -0.30489f, 0.37292f, -0.52136f, 2.66317f, 1.07252f, 0.42095f, 2.77645f, -1.58622f, -2.63725f, -0.70758f, 0.92746f, -0.81820f, -1.04729f, 1.31118f },
{ 0.20992f, -0.10153f, 1.50121f, -2.07692f, 0.27563f, 1.11938f, -0.67000f, -0.20409f, 0.14536f, 0.87415f, -0.76761f, -0.30903f, 1.34366f, -0.95613f, -0.11643f, -0.57006f },
{ -0.91364f, 2.22045f, 1.30541f, 0.86795f, -0.50535f, 1.17941f, -0.20213f, 1.80819f, 1.41244f, 0.36275f, 0.13720f, 0.83845f, 1.71713f, -0.35703f, -0.56253f, 0.26211f },
{ 0.05928f, 0.67483f, 0.19002f, -0.99593f, -0.16692f, -0.49631f, -1.54380f, 0.28138f, -1.11782f, -0.37632f, 0.26640f, 0.42257f, 0.62799f, 1.04254f, 0.40614f, -0.08817f },
{ 0.40881f, -1.07391f, -2.76661f, 0.30900f, -0.80601f, 1.49882f, 0.42733f, 1.68715f, -1.65612f, 0.34441f, 0.40664f, -0.12388f, 0.02094f, -0.18863f, -0.67740f, -0.64080f },
{ 0.18870f, -1.12200f, -0.13446f, 0.11078f, -1.07449f, 1.29302f, -1.85583f, -0.86163f, 0.27933f, 1.57653f, 0.05313f, -0.95115f, -1.39785f, -2.44102f, -0.86701f, 0.32568f },
{ 0.84992f, 0.79953f, 2.47256f, 0.64781f, -0.47047f, -0.52259f, -1.02915f, -0.09073f, -1.03749f, -2.15888f, 1.45405f, 0.08525f, 0.12779f, -0.61019f, 0.64570f, 0.25546f },
{ 0.41463f, -1.37280f, -0.82171f, 1.18279f, 0.08402f, 0.62744f, -0.61981f, -1.56938f, -0.39014f, 0.32775f, 1.58056f, 0.33243f, 0.06030f, -0.77421f, -0.48094f, 0.77658f },
{ -0.99065f, 0.95617f, -0.20784f, 0.16458f, -0.44713f, 0.37191f, -1.07688f, -2.80710f, -1.03459f, 0.27278f, 0.05617f, 1.64412f, -0.11150f, -0.55517f, -1.57101f, 0.50321f },
{ 0.84130f, 0.13171f, -0.51635f, -0.73140f, -1.34421f, 0.20081f, -0.13807f, 0.32134f, -0.24844f, -0.69150f, 1.68468f, 0.06860f, -0.31176f, 0.28413f, -0.57281f, 2.12886f },
{ 1.08669f, -1.01704f, 0.89327f, -0.05070f, -0.51311f, 0.48194f, 0.08833f, 1.23142f, 0.01055f, 2.26422f, -1.37916f, -0.15537f, 1.10848f, -0.38250f, -0.74045f, -1.55418f },
{ 2.02049f, -0.32083f, -1.17550f, -1.42730f, 2.19001f, 0.62893f, -0.84563f, -1.59559f, -0.50170f, -0.71851f, -0.02671f, 0.08111f, -2.36138f, 0.97239f, 0.14895f, -1.45238f },
{ 0.42510f, 1.44354f, -0.24320f, 1.02283f, -0.69395f, 0.59150f, 2.27363f, 0.81901f, 0.56423f, 0.72250f, -0.61686f, 0.27476f, 2.56845f, -1.69498f, -1.48158f, -1.92633f },
{ 0.45593f, 0.39229f, -1.13273f, -1.86890f, 1.93228f, 0.70885f, 0.05256f, 1.96275f, -0.69783f, 0.82639f, 0.16831f, 1.46186f, -1.56704f, -1.02621f, -0.46275f, 0.21631f },
{ 1.97293f, 0.93962f, -1.73073f, 1.47667f, -0.32642f, 1.79770f, -0.79222f, 0.49233f, -0.30277f, 0.07741f, 0.32799f, -1.21779f, -0.23280f, -0.17440f, -0.84062f, -1.12681f },
{ 0.43748f, 1.53098f, 0.30425f, -0.78637f, 1.13571f, -0.97913f, -0.00841f, 0.11432f, 0.47431f, 0.62476f, -1.41102f, -0.48948f, -1.30858f, 0.15942f, 0.84980f, 0.03311f },
{ 0.16308f, -2.28487f, -0.26705f, 0.04260f, -0.12486f, -0.92104f, -0.89025f, 0.00095f, 1.31911f, 0.12462f, 0.63588f, 0.47292f, 0.09071f, 0.21467f, -2.13483f, -0.66181f },
{ 0.47810f, 1.05104f, 1.99647f, 0.03491f, 0.11075f, -0.49182f, 1.38907f, 0.65528f, 0.79026f, 0.43662f, 0.97924f, -0.14361f, 0.57328f, -0.96241f, -0.29240f, 0.71975f },
{ 0.64876f, -0.01775f, 2.10106f, 0.57278f, -1.23250f, -0.30338f, 1.26201f, -0.58597f, 1.62537f, -0.27273f, -0.72182f, 0.88067f, -1.35260f, -0.79095f, -2.02441f, -0.63492f },
{ 0.97901f, 0.12335f, 0.84404f, -2.75288f, -0.12758f, 0.78412f, 0.11144f, -0.40478f, 0.17788f, -0.83972f, -0.07661f, -1.04795f, 0.53597f, 1.54074f, -1.08969f, 0.00748f },
{ -0.90470f, -1.50972f, -0.77952f, 1.25602f, 1.06604f, -1.08078f, 0.84280f, -0.25968f, -0.03954f, 0.43241f, -0.65050f, -1.43238f, 0.09340f, 0.39085f, 0.29779f, -0.61607f },
{ 1.93240f, -0.86585f, -0.22558f, 1.03756f, 1.48617f, 0.41911f, 1.09332f, -1.47920f, 0.08760f, 0.78195f, 0.64688f, 0.18353f, 0.62214f, -1.10203f, 0.27412f, -1.44658f },
{ 1.20692f, -1.82104f, 0.68078f, 0.39522f, -1.73416f, 0.72340f, -2.87444f, 0.67004f, 0.69041f, 0.61382f, -0.56005f, 0.96064f, -0.68502f, -0.20836f, -0.77269f, -1.34386f },
{ 0.98574f, 0.28082f, -1.92691f, -0.06554f, -1.12883f, 0.59690f, 0.01501f, 0.92570f, -0.64075f, -1.14595f, 0.50595f, 1.27180f, 1.63153f, 0.39861f, 1.62469f, -1.60882f },
{ 0.46986f, 0.20037f, -0.15046f, 0.55173f, -1.17138f, -0.03836f, -0.30921f, -0.42010f, 0.53438f, -0.29823f, -1.03063f, 1.23292f, 0.67097f, -0.09888f, -1.37194f, 0.28026f },
{ 0.13439f, 1.43722f, -0.36697f, -0.19414f, -1.17807f, 0.78674f, 1.19052f, -0.66436f, -1.08218f, -0.06530f, 0.48860f, -1.46942f, 1.57182f, 0.64143f, -0.97039f, 0.21543f },
{ 0.83291f, -0.65457f, 0.73207f, 0.64695f, 1.21724f, -0.01074f, -0.05443f, 0.29376f, -0.29564f, -0.43138f, 0.16297f, -0.97854f, 0.10171f, -1.69787f, -0.92327f, 1.11291f },
{ 0.33012f, 0.76512f, -0.32431f, 1.33724f, 2.38663f, -0.88491f, 1.09419f, 0.31291f, -0.21076f, 0.58261f, -2.12348f, 0.45349f, -0.49292f, -1.24543f, -1.24722f, -0.76421f },
{ 0.72239f, 1.76541f, -0.58772f, -1.40045f, 0.13299f, 0.93699f, -2.19563f, 1.40059f, -1.87049f, 0.56230f, -0.93892f, 0.47187f, -0.89051f, -0.87440f, -1.56361f, -0.25578f },
{ 1.04764f, -0.31373f, -0.32132f, -1.27450f, 0.21200f, 0.28896f, -0.50804f, 0.35627f, 0.20002f, -0.09052f, -1.70986f, 0.63143f, 0.86051f, 1.11057f, -0.01262f, 0.10613f },
{ 1.07666f, 2.19627f, 1.79108f, -0.75164f, -0.61858f, -0.86407f, -0.08999f, -1.94873f, -1.08702f, 1.92402f, -0.75248f, -0.82763f, -0.33915f, 1.75337f, -0.70807f, 1.28552f },
{ 1.53341f, -0.01630f, -0.91246f, 0.84477f, -1.35095f, 0.27571f, -0.31845f, 1.04634f, -0.60051f, 0.09517f, -0.73327f, -0.33826f, 0.67033f, 2.36544f, 1.27256f, -0.04618f },
{ -0.97357f, 0.60018f, 0.85949f, -0.97633f, 0.58969f, -0.43150f, -0.88046f, 0.37620f, 1.54433f, 0.37596f, -0.37085f, -0.31199f, -0.55788f, 0.97559f, 1.71901f, 0.73565f },
{ -1.04714f, -0.48587f, -0.18191f, 0.52235f, -1.75943f, -1.59596f, 1.14586f, 0.14561f, -0.05323f, -0.33690f, 0.96606f, -0.58609f, -1.64045f, -0.38563f, 2.91718f, 0.43105f },
{ -1.87970f, -0.94940f, -0.51476f, -0.43655f, -0.64233f, 0.15400f, -1.22157f, -0.08794f, 0.73001f, -0.68843f, -2.09671f, 0.17188f, 0.43734f, 1.07172f, -1.95085f, 0.15935f },
{ -1.97759f, -0.93669f, -0.61289f, 0.30092f, -1.15192f, -0.20435f, -0.47172f, -1.57345f, -0.53386f, -1.34353f, -0.82488f, 0.37861f, 1.11597f, 0.53088f, -0.56314f, -0.46528f },
{ 0.64008f, 0.02746f, -0.68090f, -0.35667f, 0.11906f, 0.85104f, 0.44068f, 1.06872f, 0.28695f, -0.70726f, 0.97286f, 1.44134f, 1.83005f, -0.48079f, 2.42772f, 0.71257f },
{ -0.64674f, -0.87786f, -0.89282f, 0.49256f, -3.71209f, 1.24387f, 0.39166f, 1.65624f, 0.70540f, -1.50477f, 1.07235f, 0.06164f, 0.40339f, -0.52696f, 0.02168f, -0.61953f },
{ 0.69331f, -0.68120f, -0.06376f, 0.57626f, -0.55443f, -0.15781f, -0.34373f, 0.13103f, 1.21928f, 1.07353f, -0.66167f, -2.07352f, -1.67945f, 0.32827f, -2.22646f, -1.20156f },
{ 0.08218f, -1.39591f, 0.25810f, -0.43652f, -0.72192f, -0.02783f, -1.14573f, -0.12294f, 1.25559f, -1.14217f, 0.49027f, -0.83375f, 0.43027f, -0.37757f, 0.95363f, 0.42903f },
{ 0.45930f, -1.03546f, -0.14884f, -0.20022f, 0.09499f, -1.69817f, -0.80247f, -0.39855f, 0.12756f, 1.52302f, -2.02069f, -0.04382f, 0.11960f, -0.55914f, -0.57190f, -0.55500f },
{ -0.72948f, -1.83456f, -0.36743f, 1.21220f, -0.07512f, 1.19841f, -1.00889f, 0.97875f, 0.16376f, 2.33081f, 0.79234f, -1.12342f, 0.60360f, -1.22392f, 0.55777f, -2.46032f },
{ -0.06734f, -0.38143f, 0.35285f, 0.51752f, -0.56356f, 0.66411f, -1.67293f, -0.68055f, -0.03648f, 0.56100f, 1.14922f, 0.60710f, -0.45121f, 0.49128f, 1.53624f, -0.79913f },
{ -0.53883f, 1.21187f, -0.13647f, -0.99116f, 0.15230f, -0.07321f, -1.08987f, 0.78120f, 0.68628f, -1.15062f, 0.55081f, 0.17862f, -0.90681f, 0.48461f, -0.64773f, -1.25127f },
{ -1.27376f, 1.16985f, -1.21398f, 0.69842f, -0.84306f, 0.37396f, -0.29535f, 0.18746f, -1.99070f, 1.08941f, -0.28245f, 1.06799f, -0.03510f, 0.33443f, 1.58711f, -0.87360f },
{ -0.37112f, -1.03220f, -0.21382f, -1.21428f, 0.09894f, 1.25541f, 1.00356f, -0.19711f, 1.60938f, 1.30950f, 0.75467f, 0.61249f, 0.40294f, 0.87491f, -2.71921f, 0.92063f },
{ -0.39058f, -0.50469f, 0.41601f, 0.63575f, 1.38293f, -0.33187f, 0.26108f, 0.05536f, 0.25673f, 0.09066f, 0.60999f, 0.40584f, 0.14822f, -0.36250f, -1.85233f, 1.42110f },
{ 0.30260f, -1.23605f, 0.92500f, -1.19767f, -1.95743f, -1.65196f, 1.06414f, -0.92377f, 1.41518f, -0.48589f, 0.16342f, -0.92194f, 1.17613f, 0.79361f, 0.87897f, 2.09320f },
{ 1.14883f, -2.19196f, -1.39083f, -1.06468f, -0.01633f, 0.19111f, 1.69262f, -0.33037f, -0.57688f, -0.42528f, -1.77857f, 0.64110f, -1.01689f, -0.75957f, 0.84871f, 1.48834f },
{ -0.87859f, -0.63421f, -0.68241f, 2.00534f, 0.26449f, -1.81048f, 0.93578f, 0.58702f, 1.52100f, 1.86391f, 0.08979f, 1.85304f, 0.42463f, -1.89142f, 0.99731f, 0.78353f },
{ -0.34563f, 0.79274f, 1.54978f, -1.04091f, -0.58800f, -1.13860f, 0.19394f, -1.19795f, 0.47786f, -2.79011f, 0.64250f, 0.64584f, -0.06425f, 0.49091f, 0.04360f, 0.04629f },
{ -0.58509f, 1.04858f, -0.45961f, 0.09262f, 0.68996f, 0.58482f, -0.80418f, 1.68721f, -2.55022f, 0.25535f, 0.29636f, 1.11711f, 0.39458f, -1.07404f, 0.01622f, -1.41471f },
{ 0.76730f, 0.81558f, -0.31152f, -1.84784f, 1.03375f, -0.08125f, 1.18991f, -2.10165f, -0.92210f, 0.27762f, -1.07386f, 0.76510f, 0.93720f, 0.79076f, 0.55341f, -0.99981f },
{ -0.08216f, -0.55451f, 1.13294f, 1.04071f, 0.46704f, 0.10903f, 0.89939f, -0.32662f, 0.31913f, -0.44259f, -0.33541f, 2.16096f, -0.33312f, -1.13879f, -0.28459f, 0.10468f },
{ 0.39022f, 0.68866f, 0.31724f, 1.58617f, 1.37963f, -1.29084f, -1.04076f, 0.23112f, 1.04068f, 0.91332f, -1.47467f, 0.44205f, 0.13191f, -1.23321f, -1.45681f, 0.53330f },
{ 0.85228f, -0.08244f, -0.58930f, -1.00775f, -2.68686f, -0.90274f, -1.06994f, 0.03161f, 0.64262f, 1.14371f, -0.22911f, -0.78865f, 0.92122f, -0.49922f, -0.73280f, -0.24385f },
{ 0.10445f, 1.02578f, 0.50716f, 0.04791f, 1.69651f, -1.43715f, -0.47522f, 1.19930f, 0.00930f, 1.18434f, 0.32762f, 0.63756f, 0.29646f, -0.80723f, -0.38701f, 0.13967f },
{ 0.27097f, -1.29183f, -0.78357f, -1.18257f, -0.08539f, 0.60621f, -1.33177f, -1.16309f, 1.47066f, 0.18066f, -0.38877f, 0.30420f, 0.33482f, -0.79359f, -0.89718f, 0.62899f },
{ 0.55211f, 0.02763f, 0.07158f, 1.56375f, -0.60789f, 1.47901f, 0.70437f, -0.58252f, -1.24861f, 2.55455f, 0.11202f, -1.70154f, 0.57679f, 0.88185f, -0.40123f, 1.80836f },
{ -0.43917f, -0.50921f, -0.99341f, -0.46102f, -0.34693f, 1.13285f, -0.37163f, 2.08398f, -0.12913f, -0.18478f, 0.29959f, 1.45083f, -1.28827f, 0.01351f, -0.07966f, -0.40555f },
{ -0.88722f, 2.00465f, 1.33585f, -0.35718f, -0.31334f, -0.11292f, 0.16549f, 0.42988f, 0.10552f, 0.72047f, 0.06553f, -1.93940f, -0.72907f, 0.21720f, 2.27154f, 1.51902f },
{ 0.21883f, 0.70222f, 0.34945f, 1.77992f, 0.73801f, 1.93059f, 1.22029f, -1.43984f, 0.10219f, -1.80597f, -0.43514f, 0.83564f, -0.16565f, 0.30585f, -1.19803f, -1.16021f },
{ 0.10773f, -1.03426f, -1.46523f, -1.15989f, 0.55908f, -0.91892f, 0.10352f, 0.88029f, 0.82084f, 0.58073f, 0.95004f, 1.15743f, 2.12441f, -0.30090f, -0.45227f, -1.00191f },
{ -0.87566f, 0.82131f, 0.75825f, -1.51663f, 0.54961f, 1.32269f, 1.18351f, -2.23665f, 0.45560f, -1.10846f, 0.74832f, -1.16375f, -0.73265f, -1.29265f, -0.84440f, -0.98832f },
{ -0.11655f, -0.55513f, 0.01346f, 2.22983f, 0.16230f, -0.38843f, -0.10626f, 0.60543f, 1.00778f, -1.46822f, -1.22661f, -0.69861f, 0.34853f, -0.33498f, 0.65319f, 0.39115f },
{ -0.15997f, 0.55840f, 1.29589f, 0.19713f, -0.11177f, -0.33296f, 0.05295f, 0.34667f, -0.04453f, 0.73916f, 0.35971f, -0.45501f, 0.15736f, -0.41340f, 0.40790f, 0.45764f },
{ -0.18838f, -0.88689f, -0.35150f, 0.60203f, -0.43452f, -0.08049f, 0.98503f, -0.61403f, 0.76721f, 1.37063f, 0.00859f, 0.71346f, -0.44171f, 0.99521f, 0.59541f, -0.57783f },
{ -0.01108f, -1.46661f, -0.52646f, -0.65065f, -0.48767f, 0.70334f, 0.27195f, -0.90073f, -1.84423f, 2.16604f, 2.12502f, 0.41000f, 0.34079f, 0.79091f, -0.57486f, 0.47559f },
{ 0.35380f, 0.90486f, 0.59372f, -0.20542f, 1.14373f, 0.49004f, 0.04283f, -0.48542f, -0.17602f, 0.85092f, -0.05267f, 0.02293f, 0.59340f, -0.69133f, 0.40615f, 0.79299f },
{ -1.24496f, 0.12455f, -0.86314f, -0.09596f, 0.84368f, 0.23588f, 1.07256f, 1.42395f, -0.02600f, 0.94625f, 1.71852f, -0.96759f, 1.33062f, 0.59133f, -0.19752f, 0.23488f },
{ -0.82061f, 0.42191f, -1.51103f, 0.48447f, 0.40939f, -1.04187f, -0.10865f, -1.25669f, -0.54292f, 0.29640f, -0.03934f, -2.49232f, 0.58538f, -0.68211f, -0.58240f, 1.44900f },
{ 2.66745f, 1.40290f, 0.41713f, 0.96571f, 1.24746f, -0.75187f, -0.99388f, 1.69220f, -1.33589f, 0.97814f, 0.18879f, 1.39252f, 0.31737f, 0.61744f, 0.84714f, 0.12561f },
{ -0.25197f, 0.95888f, -1.14136f, 1.02294f, 0.18616f, 1.26986f, 0.43037f, -0.04953f, -0.05355f, -0.40703f, -0.79310f, -1.75319f, 0.44934f, -1.42182f, -1.61692f, -0.77404f },
{ 1.56917f, -0.22712f, -0.90990f, 0.84512f, -0.00349f, -0.71296f, -0.85296f, 0.05355f, -0.41680f, -1.57541f, 1.63437f, -0.60319f, 0.35435f, 1.58437f, -0.16605f, 1.71735f },
{ 0.06560f, -0.65318f, 0.07039f, -1.03696f, 0.76454f, 0.05819f, -2.83218f, 0.67568f, -0.21396f, 0.56031f, -1.09972f, -0.82500f, -0.18639f, 2.58403f, -0.26392f, -0.61465f },
{ 1.38706f, 0.11278f, -0.45853f, 0.69633f, 0.79130f, -0.84233f, -0.59337f, -0.17035f, 0.74497f, 2.74755f, 0.49320f, -1.64657f, -0.66812f, -0.32597f, 0.01453f, 0.10290f },
{ 0.85618f, -0.16977f, 0.86223f, 1.14788f, 0.63096f, 0.04680f, -2.62015f, -0.32556f, 0.96646f, -0.06121f, 0.72878f, -0.38629f, 0.57503f, 0.91026f, 0.28821f, 0.22753f },
{ -0.94461f, 0.33392f, 0.97772f, 0.34865f, 1.14191f, 1.03722f, -0.84144f, -1.48374f, -1.58136f, -1.71602f, -0.62168f, 1.09735f, -0.69712f, 1.49829f, -0.12547f, -0.13502f },
{ -1.37269f, 0.94134f, 0.66976f, -0.60499f, 0.06810f, -0.47880f, -1.21399f, -1.58395f, -0.91101f, 0.44474f, -0.27754f, 0.42044f, -1.30317f, -0.45907f, -1.91395f, -1.33457f },
{ -0.39399f, 0.14463f, 1.96748f, -0.76926f, 0.82634f, -0.21912f, -0.82340f, 1.08024f, 0.05796f, 0.69304f, 0.26483f, -1.18414f, 0.27307f, -0.71885f, -0.96499f, -1.54782f },
{ -0.01695f, 0.54423f, -1.58375f, -0.57768f, -1.32067f, -1.46079f, 0.16524f, 0.03709f, -0.87218f, 0.32134f, 0.10205f, 1.73659f, -0.70547f, -0.31031f, 0.26622f, 0.51897f },
{ -1.15776f, -0.03302f, 0.91524f, -0.29226f, -1.13093f, 0.59638f, -1.98900f, 0.19840f, 1.08603f, 0.33332f, 0.56904f, -0.88738f, 0.97103f, 0.15885f, -1.63576f, 0.79383f },
{ 0.51162f, -1.92436f, 1.35672f, 1.85185f, -0.11383f, 0.26429f, -0.88711f, -0.01289f, 0.38946f, 0.51650f, -1.06096f, -0.10867f, -0.71677f, -1.16369f, -1.14734f, -0.02846f },
{ -0.82856f, 1.13731f, -0.75331f, 1.36719f, 0.90574f, 0.36729f, 0.68777f, 0.83950f, -0.96846f, 0.33470f, 0.11287f, -0.25139f, -0.14115f, 1.48802f, -1.58614f, -0.11923f },
{ -0.60080f, -0.61013f, -0.08385f, 0.71513f, -1.62758f, -0.01942f, -0.72486f, -1.45431f, -0.04745f, -1.42816f, -1.92943f, 0.65581f, -1.09922f, 0.73978f, -0.34140f, -1.02112f },
